stop_id,stop_code,stop_descr,stop_desr_matrix,stop_street,stoptyp_code,dimos,perioxi,stop_url
750015,750015,ΠΙΝΔΟΥ,PINDOY,ΚΥΠΡΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750015
750016,750016,ΑΣΤΥΝΟΜΙΑ,ASTYNOMIA,ΚΥΠΡΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750016
750018,750018,ΚΙΛΚΙΣ,KILKIS,ΚΑΠΟΔΙΣΤΡΙΟΥ,ΣΤΑΣΗ,ΝΕΑΣ ΙΩΝΙΑΣ,Δ.  ΝΕΑΣ ΙΩΝΙΑΣ,http://telematics.oasa.gr/#stationInfo_750018
750019,750019,ΒΕΡΓΙΝΑ,BERGINA,ΒΕΡΓΙΝΑΣ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750019
750020,750020,ΑΡΝΕΛΟΥ,ARNELOY,ΑΓ.ΦΙΛΟΘΕΗΣ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750020
750021,750021,ΠΕΤΡΙΝΟ ΠΕΡΙΠΤΕΡΟ,PETRINO PERIPTERO,ΑΓ.ΦΙΛΟΘΕΗΣ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750021
750022,750022,28ης ΟΚΤΩΒΡΙΟΥ,28th OKTOBRIOY,ΑΓ.ΦΙΛΟΘΕΗΣ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750022
750024,750024,ΙΔΡΥΜΑ ΚΩΝ. ΚΑΡΑΜΑΝΛΗ,IDRYMA KON. KARAMANLH,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750024
750025,750025,ΠΕΡΙΠΤΕΡΟ,PERIPTERO,ΛΕΩΦ.ΚΗΦΙΣΙΑΣ,ΕΞΥΠΝΗ ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750025
750026,750026,ΣΕΡΡΩΝ,SERRON,ΛΕΩΦ.ΚΗΦΙΣΙΑΣ,ΕΞΥΠΝΗ ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750026
750027,750027,ΑΓΟΡΑ,AGORA,ΚΑΠΟΔΙΣΤΡΙΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750027
750028,750028,ΠΛ. ΚΟΡΥΖΗ,PL. KORYZH,ΚΑΠΟΔΙΣΤΡΙΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750028
750029,750029,ΣΙΔΕΡΑ,SIDERA,ΚΑΠΟΔΙΣΤΡΙΟΥ,ΣΤΑΣΗ,ΑΜΑΡΟΥΣΙΟΥ,Δ.  ΑΜΑΡΟΥΣΙΟΥ,http://telematics.oasa.gr/#stationInfo_750029
750030,750030,ΛΥΚΕΙΟ,LYKEIO,Λ.ΑΚΡΙΤΑ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750030
750031,750031,ΠΑΙΔ. ΧΑΡΑ,PAID. XARA,Λ.ΑΚΡΙΤΑ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750031
750032,750032,ΒΟΡ. ΗΠΕΙΡΟΥ,BOR. HPEIROY,Λ.ΑΚΡΙΤΑ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750032
750033,750033,ΙΟΝ. ΣΧΟΛΗ,ION. SXOLH,Λ.ΑΚΡΙΤΑ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750033
750034,750034,25ης ΜΑΡΤΙΟΥ,25th MARTIOY,25ης ΜΑΡΤΙΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750034
750044,750044,ΡΕΝΙΕΡΗ,RENIERH,ΚΑΠΟΔΙΣΤΡΙΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750044
750051,750051,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,DIMOTIKO SCHOLEIO,ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750051
750052,750052,ΠΑΠΑΦΛΕΣΣΑ,PAPAFLESSA,ΠΑΠΑΦΛΕΣΣΑ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΦΙΛΟΘΕΗΣ,http://telematics.oasa.gr/#stationInfo_750052
760001,760001,31η ΦΥΛΗΣ,31st FYLHS,ΦΥΛΗΣ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΑΝΩ ΛΙΟΣΙΩΝ,http://telematics.oasa.gr/#stationInfo_760001
